scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
"Pension to Unmarried Poor, Incapacitated Women of Age 50 years and above",ptupiwoa50yaa,"The 'Pension to Unmarried Poor, Incapacitated Women of age 50 years and above' is a state scheme launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme aims to provide a pension of ₹1,000/- to unmarried, poor, incapacitated women of age 50 years and above. The destitute women are also provided with one free saree during Pongal and Deepavali, and free rice in the Anganwadi Centres.","Pension: ₹1,000/- per month. Free Clothes during Pongal and Deepavali: One free saree. Free Rice in Anganwadi Centres: 2kg/month to those who are taking nutritious meals. 4kg/month to those who are not taking nutritious meals.","The applicant should be a woman. The applicant should be destitute. The applicant should be unmarried. The applicant's age should be 50 years and above. The applicant's fixed assets should not exceed ₹1,00,000/-. ﻿","Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Applicant's Photo. Aadhaar Card. Proof of age. Aadhaar Consent Form. Smart Ration Card or Any Address Proof. Self–declaration of Applicant. Any Identity Proof (Voter ID Card, Passport, PAN Card, Driving License). Bank Passbook.",State,"Social welfare & Empowerment, Women and Child",,"Pension, Unmarried, Poor, Incapacitated, Women"
Perarignar Anna Memorial Award,pamatn,"The ""Perarignar Anna Memorial Award"" launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, recognizes and rewards academic excellence among boys and girls from the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) in Tamil Nadu. The award is granted to students achieving the first and second ranks in the 12th Public examination in each district and who continue their education in professional colleges within the state.","Financial Assistance: ₹5,000/- per annum for a duration of 4 to 5 years. ﻿","The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The beneficiary should secure the first or second ranks in the 12th Public examination in their concerned district. The beneficiary should be pursuing their studies in professional colleges in Tamil Nadu.","Step-1: The interested applicant should collect the application form from their concerned educational institution. Step-2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the institution. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate. Admission letter or proof of enrollment (Government or Government Aided Arts and Science College). Previous academic records (as required by the college). Any other documents (if required).,State,Education & Learning,,"Minority Welfare, Scholarship, Education, Cash Award"
Personal Accident Relief for Differently Abled Persons,parfdap,"The scheme ""Personal Accident Relief for Differently Abled Persons"" was launched by the Dept. for the Welfare of Differently Abled Persons, Government of Tamil Nadu. In this scheme, accident relief is provided to differently-abled persons up to ₹1,00,000/-. The scheme covers cases such as death, loss of both legs/both hands/one hand/one leg, and loss of sight in one eye/both eyes.","Relief to the Legal Heir in the event of death of the differently-abled person: ₹1,00,000/-. Relief in the case of Loss of both legs & both hands/ one leg & one hand/ loss of sight in both eyes: Upto ₹1,00,000/-. Relief in the case of Loss of one hand/ one leg/ loss of sight in one eye: ₹50,000/-. Relief in the case of Total disablement not covered in Sl. no.2 and 3 above: ₹25,000/-.","1. The person should have died or should have become differently-abled in an accident. 2. The disability should be one of the following: Loss of Both Legs and Both Hands. Loss of One Hand and One Leg. Loss of Sight in Both Eyes. Loss of One Hand. Loss of One Leg. Loss of Sight in One Eye. 3. The person should be/ should have been a registered member of the ""Welfare Board for the Differently-Abled"".","Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Office and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Medical Certificate. Original National Identity Card of the Differently Abled Person, issued by the Welfare Board for the Differently-abled.",State,Social welfare & Empowerment,,"Financial Assistance, Death, Accident, Disability"
Pipes Carrying Water From Source To Field,pcwfsf,"The scheme “Pipes Carrying Water From Source To Field” by the Agriculture-Farmers Welfare Department, Tamil Nadu aims to support farmers by subsidizing the cost of water-carrying pipes up to 800m. The subsidy is either 50% of the total cost or ₹15,000/- whichever is lower. The pipes can be of any material or size as required by the farmer, including PVC and HDPE. The initiative targets ensuring water access to farms.","Financial Assistance: Subsidy on 50% cost or ₹15,000/- for water carrying pipes upto 800m and all types of pipes(PVC HDPE etc.,) and all sizes as per the requirement of the farmer.",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Bank account details. Caste certificate (if applicable). Women farmer group registration documents (if applicable). Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Irrigation, Pipes"
Pipes Carrying Water From Source To Field-Pulses ISPOM,pcwfstfpi,"The scheme “Pipes Carrying Water From Source To Field-Pulses ISPOM” by the Agriculture-Farmers Welfare Department, Tamil Nadu, aims to support farmers by subsidizing the cost of water-carrying pipes up to 800m. The subsidy is either 50% of the total cost or ₹15,000/- whichever is lower. The pipes can be of any material or size as required by the farmer, including PVC and HDPE. The initiative targets ensuring water access to farms.","Financial Assistance: Subsidy on 50% cost or ₹15,000/- for water carrying pipes upto 800m; all types of pipes(PVC HDPE etc.,) and all size as per the requirement of the farmer. ﻿",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of identity (Aadhar card, Voter ID) Land ownership documents or lease agreement. Bank account details. Caste certificate (if applicable). Women farmer group registration documents (if applicable). Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Irrigation, Pipes, Pulses ISPOM"
Poompuhar District Craft Award,pdca,"The ""Poompuhar District Craft Award"" scheme was launched in the year 2011-2012 by the Department of Handlooms, Handicrafts, Textiles & Khadi, Govt. of Tamil Nadu. The award was introduced to recognize and honor the artisans district-wise. The awards are conferred every year and consist of a cash prize of ₹10,000/-, a silver medal, and a certificate. The award is granted annually.","Cash Prize of ₹10,000/-. Silver Medal. Certificate.","The applicant should be an artisan. The applicant should be a native of Tamil Nadu. Handicraft competitions will be conducted in the following 16 types of handicrafts: Panchaloka Idols, Brass Lamps and Brass Artifacts, Thanjavur Paintings, Thanjavur Plates, Wood Sculptures, Stone Sculptures, Fire Clay, Kalamkari Pathik and Applique Work, Pulp Toys, Mat Weaving, Bamboo and Palm Leaf Products, Neti Work, Textiles, Temple Jewellery, Pictorial Embroidery Work and Other Handicrafts. The experience of the artisans and the service rendered by them in their profession and other special features will also be taken into consideration during the passing.","Advertisements are released in June every year. Step 1: The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents (during office hours-Monday-Friday) to the Poombukar Head Office. ﻿ Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport-size Photograph. Address Proof (Family Card/ Voter ID Card/Driving License). Aadhaar Card. Front Page of Bank Passbook. Artisan's Affidavit on ₹20/- Stamp Paper, attested by a First Class Criminal Judge or Notary Public. Recommendation Certificate, attested by any of the Managers of Poombucar Outlets and Manufacturing Plants / the respective Area Assistant Directors (Handicrafts / Craft Council (Tamil Nadu/India/World) under the Office of the Development Commissioner, New Delhi. Photographs of the Item to be offered for selection.",State,"Skills & Employment, Sports & Culture",,"Prize, Financial Assistance, Financial Assistance, Craft, Craft"
Poompuhar State Award,psa,"The ""Poompuhar State Award"" scheme was launched by the Department of Handlooms, Handicrafts, Textiles & Khadi, Government of Tamil Nadu. The best artisans who have contributed to the development of the crafts of Tamil Nadu are selected and given a cash prize of ₹50,000/, a 4-gram gold medal, tamirapathiram and a certificate. The economically backward awardees are also eligible for a monthly pension of ₹3,500/- after completion of 60 years of age.","Cash Prize of ₹50,000/-. 4-gram Gold Medal. Thamirapathiram. Certificate. Monthly Pension of ₹3,500/- to the economically backward awardee.","The applicant should be an artisan. The applicant should be a native of Tamil Nadu. The applicant should be above 30 years of age. For monthly pension, the applicant should be 60 years or above in age. The experience of the artisans and the service rendered by them in their profession will be taken into consideration during the passing (The artisans participating in the Award will be invited for process explanation and interview if required by the headquarters to test their skills).","Step 1: The interested applicant should take print of the prescribed format of the application form. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents (during office hours, Monday-Friday) to the Poombukar Head Office Tamil Nadu Handicrafts Development Corporation, 759, Anna Road, Chennai - 600 002. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE 1: Advertisements are released during June month every year. NOTE 2: No need to send award material with the application.","Passport-size Photograph. Address Proof. Aadhaar Card. Front Page of Passbook. Craftsman Service photograph. Certificate of Any Person (Well-wisher/Personally aware). Artisan's Affidavit on ₹20/- Stamp Paper, attested by a First Class Criminal Judge or Notary Public. Recommendation Certificate, attested by any of the Managers of Poombucar Outlets and Manufacturing Plants / the respective Area Assistant Directors (Handicrafts / Craft Council (Tamil Nadu/India/World) under the Office of the Development Commissioner, New Delhi. Photograph of the applicant at each stage of production of the product for the award/Video. ﻿",State,"Skills & Employment, Sports & Culture",,"Financial Assistance, Artisans, Award, Crafts"
Postmatric Scholarship,pmstn,"The ""Postmatric Scholarship"" scheme launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aimed at supporting students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme provides financial assistance to students in 11th and 12th standards in English Medium, helping cover tuition fees and full examination fees.",Financial Assistance: Tuition fee assistance of ₹500/- (₹50/- per month for 10 months). Full examination fee coverage for 12th-standard students. ﻿,"The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). Parents' income should not exceed ₹1,00,000/- (for Backward Classes (BC) students). There should be no graduate in the family (for Backward Classes (BC) students). The beneficiary should be studying in 11th or 12th standard in an English medium school. ﻿","Step-1: The interested applicant should collect the application form from their concerned educational institution. Step-2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the institution. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (BC/MBC/DNC). Proof of income (for BC students). Admission letter or proof of enrollment (11th/12th standard admission) Bank account details. No-graduate certificate (for BC students) Any other documents (if required).,State,Education & Learning,,"Minority Welfare, Scholarship, Education, Postmatric"
Pradhan Mantri Adarsh Gram Yojana,pmagy,"With a view to enabling an area-based development approach, a new scheme Pradhan Mantri Adarsh Gram Yojana (PMAGY) was launched during 2009-10. The Scheme aims at integrated development of Scheduled Castes majority villages. ﻿ The principal objective of PMAGY is the integrated development of SC majority Villages: (a) Primarily through convergent implementation of the relevant Central and State/UT Government Schemes; and (b) By taking up identified activities, which do not get covered under the existing Central and State Government Schemes, through ‘Gap-filling’ funds provided as Central Assistance to the extent of ₹20,00,000 per village. ﻿ The implementation of the Scheme was started on Pilot basis in 2009-10 and a total of 1000 villages was selected from 05 States namely Tamil Nadu (225), Rajasthan (225), Bihar (225), Himachal Pradesh (225) and Assam (100) were selected for this phase. All these 1000 villages have so far been declared as ‘Adarsh Gram’ by the respective State Governments. ﻿ The vision of an ‘Adarsh Gram' An ‘Adarsh Gram’ is one wherein people have access to various basic services so that the minimum needs of all the sections of society are fully met and disparities are reduced to a minimum. These villages would have all such infrastructure and their residents will have access to all such basic services that are necessary for a dignified living, creating thereby an environment in which everyone is enabled to utilize her/his potential to the fullest. ﻿","Physical Infrastructure 1.  Should be connected to the nearest major road by an all-weather road. Likewise, in the case of a multi-hamlet village, all hamlets should be connected with each other by an all-weather road. 2.  Access for all to safe drinking water on a sustainable basis. 3.  All houses should have electricity. 4.  The village should have slush-free internal roads and adequate street lighting. 5.  The village should have adequate communication facilities, such as post-office, telephones, and, if possible, internet, and Bharat Nirman Common Service Centre (being established by the Deptt. of Information Technology). 6.  Availability of adequate banking facilities through regular (brick and mortar) branches in the village or in close proximity, and through the Business Correspondent/Business Facilitator Model. 7.  All residents should have adequate housing, and there should be no homeless families. ﻿ Sanitation and Environment 1.  The village should have a high degree of sanitation- it should be free from dry latrines, and open defecation, and should have sanitary toilets, drains, and an efficient waste disposal system. It should, as far as possible, fulfill “Nirmal Gram Puraskar” norms. 2.  The Village should take care of its environment through (1) planting trees, (2) water harvest action and maintenance of water bodies (3) use of renewable sources of energy, such as biogas, solar energy, wind energy, use of smokeless chulhas, etc. ﻿ Social Infrastructure, Human Development, and Social Harmony 1.  Should have an Anganwadi center and schools of appropriate levels. 2.  The village should have adequate and attractive buildings for its Anganwadi, school, health center, panchayat, and community hall. The village should have adequate facilities for sports and other physical activities. 3.  All children in the age group of 3-6 should be enrolled in, and regularly attend the Anganwadi. Likewise, all children in the 6-14 age group should be enrolled in, and regularly attend school. 4.  All adults should be at least functionally literate and should have access to facilities for continuing education. 5.  Access for all to primary health care and Reproductive Child Health (RCH) facilities, with proper pre-natal and ante-natal care for mothers. 6.  100% institutional deliveries, full immunization of children, and observance of the small family norm. 7.  The village as a community should take special care of its women, children (especially girls), senior citizens, and persons with disabilities. 8.  There should be no public consumption of liquor or any other intoxicating substances, and their use, in general, should be discouraged. 9.  The village should have an active Gram Sabha/Gram Panchayat, women’s/swarozgaris’ Self-help Group, youth club, and Mahila Mandal. 10.  There should be no caste-based discrimination, complete eradication of untouchability, and a due sense of security and dignity among the weaker sections. 11.  Residents of the village should be aware of and exercise their constitutional and legal rights. Likewise, they should also be aware of and discharge their fundamental and civic duties. ﻿ Livelihood 1.  All youth and adults of the village should have adequate employment and means of livelihood, and there should be adequate arrangements for the development of skills among them so that as many of them as possible are in skilled employment. 2.  Progressive and efficient practices, based on new technology, should be used in all the economic activities pursued in the village, especially in agriculture, animal husbandry, fisheries, etc. 3.  Should have adequate access to remunerative prices for agricultural and other products of the village. ﻿","Out of the villages having more than 50% SC population, only those with a total population greater than 500 will be eligible for selection in descending order of their SC population in the first instance under the Scheme. (As per the Census 2011, there are 46844 villages having more than 50% Scheduled Castes population. These villages are spread over 570 districts of 25 States & UTs.) ﻿",,Not Applicable,Central,"Agriculture,Rural & Environment",,"Rural Development, Social Justice"
"Pre Examination Training Centre For All India Service Examinations Like I.A.S., I.P.S., I.R.S., Etc.",petalse,"The scheme “Pre Examination Training Centre For All India Service Examinations Like I.A.S., I.P.S., I.R.S., Etc.” introduced on 7th May, 2012 by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to provide coaching and other facilities such as free boarding and lodging to the candidates of the Adi Dravidar and Tribal community, aspiring to qualify for All India Service Examinations (IAS, IPS, IRS, etc.).","Coaching: Free coaching for All India Service Examinations (IAS, IPS, IRS, etc.). Boarding: Free boarding and lodging for candidates. Note: Mess Charges ₹1,200/- per month should be paid by the students whose parental income is above ₹1,00,000/- per annum. ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Adi Dravidar/Tribal community.,"Step 1: The interested applicant should collect the application form from the office of the Director, Anna Institute of Management, Chennai-28. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the office of the Director, Anna Institute of Management, Chennai-28. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Income certificate (parental income proof). Educational qualification certificates. Community certificate. Any other documents (if required).,State,Education & Learning,,"Tribal Welfare, Pre Examination Training, All India Service Examinations, UPSC, Coaching, Lodging"
Pre-Matric Scholarship Scheme,pmsp,"The ""Pre-Matric Scholarship Scheme"" launched by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, aimed at supporting students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). It provides tuition fees for students from 6th to 10th standard. ﻿ ﻿",Tuition Fee for 6th to 8th Standard: ₹200/- per year (₹20/- per month for 10 months). Tuition Fee for 9th to 10th Standard: ₹250/- per year (₹25/- per month for 10 months). Examination Fee for 10th Standard: Full coverage of the examination fee. ﻿,"The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). Parents' income should not exceed ₹1,00,000/- (for Backward Classes (BC) students). There should be no graduate in the family (for Backward Classes (BC) students). The beneficiary should be studying in 11th or 12th standard in an English medium school.","Step 1: The interested applicant should collect the application form from their concerned educational institution. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the institution. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (BC/MBC/DNC). Proof of income (for BC students). Admission letter or proof of enrollment (6th to 10th standard admission). Bank account details. No-graduate certificate (for BC students) Any other documents (if required).,State,Education & Learning,,"Minority Welfare, Scholarship, Education, Pre-Matric"
Primary Cooperative Agriculture and Rural Development Bank: For Animal Husbandry,pcardah,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Animal Husbandry"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial support to farmers specifically for animal husbandry activities. This initiative aims to empower farmers by boosting livestock development and enhancing agricultural productivity. ﻿ ﻿","Access to Loan: For purchasing 2 Buffaloes: ₹20,000/-. For purchasing 21 Goats: 24,500/-. Interest Rate: 14.5% to 16.5% (subject to change). ﻿","The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in animal husbandry. The beneficiary should be interested to avail Animal Husbandry Loan from the Primary Cooperative Agriculture and Rural Development Bank. The beneficiary should have the intention to use the loan specifically for animal husbandry (e.g., purchasing buffaloes or goats). ﻿","Step 1: The interested applicant should collect the application form by contacting the Secretary/ Special Officer of the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable). ﻿","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of agricultural occupation (e.g., Farmer's certificate) (if applicable). Any other documents (if required). ﻿",State,"Banking,Financial Services and Insurance, Agriculture,Rural & Environment",,"Animal Husbandry Loan, Agriculture, Farmer"
Primary Cooperative Agriculture and Rural Development Bank: For Fishing Boats (Catamarans),pcardbfb,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Fishing Boats (Catamarans)"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to offer financial assistance to farmers for acquiring fishing boats (Catamarans). The maximum loan amount is between ₹15,000/- and ₹60,000/-, with interest rates subject to periodic updates.","Access to Loan: Ranges from ₹15,000/- to ₹60,000/- for purchasing fishing boats. Interest Rate: As per the bank policy (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in fishing activities. The beneficiary should be interested in availing loan for Fishing Boats (Catamarans) from the Primary Cooperative Agriculture and Rural Development Bank. The beneficiary should have the intention to use the loan specifically for purchasing a fishing boat (Catamaran). ﻿,"Step 1: The interested applicant should collect the application form from the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of agricultural occupation (e.g., Proof of being a fisherman or fishing license) (if applicable). Fishing License (if applicable). Any other documents (if required). ﻿",State,"Banking,Financial Services and Insurance",,"Fishing Boats, Agriculture, Catamarans, Farmer, Loan"
Primary Cooperative Agriculture and Rural Development Bank: For Handloom and Other Non Farm Sector Activities,pcardfhtn,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Handloom and Other Non Farm Sector Activities"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to offer financial support for handloom and other non-farm sector activities, enabling farmers to diversify income sources beyond agriculture. Loans under this scheme can be obtained based on the project cost, with a limit of ₹2,00,000/-. Interest rates range from 11% to 12.5%, subject to change. ﻿","Access to Loan: Up to ₹2,00,000/-. Interest Rate: From 11% to 12.5%, (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in handloom or non-farm sector activities. The beneficiary should be interested to avail the loan for handloom or non-farm sector activities. The beneficiary should have the intention to use the loan specifically for handloom or non-farm sector activities. ﻿,"Step 1: The interested applicant should collect the application form by contacting the Secretary/ Special Officer of the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of agricultural occupation (For handloom and other non-farm sector activities) (if applicable). Any other documents (if required). ﻿",State,"Banking,Financial Services and Insurance",,"Handloom Loans, Non-farm Sector Activities, Farmer, Financial Assistance"
Primary Cooperative Agriculture and Rural Development Bank: For Horticulture,pcaardfh,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Horticulture"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial support to farmers through loans for horticulture purposes. The loan amount varies from ₹25,000/- to  ₹2,00,000/- per 0.4 hectare, helping farmers expand or improve their horticultural activities. Interest rates range from 11% to 12.75%, subject to market conditions.","Access to Loan: From Rs.25,000/- to 2,00,000/- per 0.4 hectare. Interest Rate: From 11% to 12.5%, (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in horticultural activities. The beneficiary should be interested in availing loan for horticultural activities. The beneficiary should have the intention to use the loan specifically for horticultural activities.,"Step 1: The interested applicant should collect the application form by contacting the Secretary/ Special Officer the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of agricultural occupation (For horticulture activities) (if applicable). Any other documents (if required).",State,"Banking,Financial Services and Insurance",,"Horticulture Loan, Farmer, Financial Assistance"
Primary Cooperative Agriculture and Rural Development Bank: For Inland Fishing,pcardbif,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Inland Fishing"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to support farmers interested in inland fishing by providing financial assistance up to ₹3,30,000/- per hectare. The loan has an interest rate of 11% - 12%, which is subject to change. This financial aid aims to empower farmers to establish or expand inland fishing operations and increase their income. ﻿","Access to Loan: ₹3,30,000/- per hectare. Interest Rate: 11% to 12% (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in inland fishing. The beneficiary should be interested in availing the loan for Inland Fishing. The beneficiary should have the intention to use the loan specifically for Inland Fishing activities.,"Step 1: The interested applicant should collect the application form by visiting the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of land ownership or lease documents for the land used in inland fishing. Any other documents (if required). ﻿",State,"Banking,Financial Services and Insurance, Agriculture,Rural & Environment",,"Inland Fishing, Loan, Farmer, Agriculture And Rural Development Bank"
Primary Cooperative Agriculture and Rural Development Bank: For Minor Irrigation,pcardmi,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Minor Irrigation"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial assistance to farmers through loans intended for minor irrigation projects. It helps improve water availability for agriculture, enhancing crop productivity and supporting sustainable rural development. ﻿","Access to Loan: ₹65,000/- to ₹1,20,000/-. Interest Rate: 11% to 11.75% (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a farmer. The beneficiary should be engaged in agriculture The beneficiary should be in need of support for minor irrigation. The beneficiary should be interested in availing of the loan for Minor Irrigation. The beneficiary should have the intention to use the loan specifically for Minor Irrigation. ﻿,"Step 1: The interested applicant should collect the application form by contacting the Secretary/ Special Officer of the Primary Cooperative Agriculture and Rural Development Bank. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of Land Ownership or Lease. Any other documents (if required).",State,"Banking,Financial Services and Insurance",,"Irrigation, Agriculture, Loan, Farmer, Agriculture And Rural Development Bank"
